stk_code,stk_name,pub_date,title,pdf_url,effective_date,prev_conv_price,new_conv_price
002984,森麒麟,20260615,关于向下修正可转换公司债券转股价格的公告,http://static.cninfo.com.cn/finalpage/2026-06-16/1225371788.PDF,20260616,,19.36
002996,顺博合金,20250521,关于可转换公司债券转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-05-22/1223628735.PDF,20250522,,11.32
002996,顺博合金,20260527,关于可转换公司债券转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2026-05-28/1225332865.PDF,20260528,,11.27
002996,顺博合金,20260622,关于董事会提议向下修正顺博转债转股价格的公告,http://static.cninfo.com.cn/finalpage/2026-06-23/1225380177.PDF,20260622,,20.43
002996,顺博合金,20260708,关于向下修正顺博转债转股价格的公告,http://static.cninfo.com.cn/finalpage/2026-07-09/1225415707.PDF,20260709,,11.16
002998,优彩资源,20250611,关于可转换公司债券转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-06-12/1223848607.PDF,20250612,,7.0
002998,优彩资源,20250925,关于可转换公司债券转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-09-26/1224682971.PDF,20250926,,6.6
002998,优彩资源,20260511,关于可转换公司债券转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2026-05-12/1225292463.PDF,20260512,,6.48
002998,优彩资源,20260723,关于可转换公司债券转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2026-07-24/1225439764.PDF,20260724,,6.31
003009,中天火箭,20250618,陕西中天火箭技术股份有限公司关于天箭转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-06-19/1223911504.PDF,20250619,,52.94
003009,中天火箭,20251024,陕西中天火箭技术股份有限公司关于天箭转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-10-25/1224737246.PDF,20251025,,52.9
300003,乐普医疗,20250613,关于可转债乐普转2转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-06-13/1223877930.PDF,20250614,,27.92
300003,乐普医疗,20250915,关于可转债乐普转2转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-09-16/1224661734.PDF,20250916,,27.79
300003,乐普医疗,20251031,关于可转债乐普转2转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-10-31/1224781645.PDF,20251101,,27.63
300014,亿纬锂能,20250909,关于可转换公司债券转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-09-09/1224646787.PDF,20250910,,50.89
300037,新宙邦,20260420,关于可转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2026-04-21/1225129689.PDF,20260421,,41.05
300037,新宙邦,20260514,关于可转债转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2026-05-14/1225307202.PDF,20260515,,40.55
300040,九洲集团,20250623,关于可转换公司债券转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-06-24/1223957124.PDF,20250624,,5.5
300112,万讯自控,20250721,关于可转换公司债券转股价格调整的公告,http://static.cninfo.com.cn/finalpage/2025-07-21/1224237754.PDF,20250722,,8.28
